t,consump,pc92,m1,m2
1984-04-01,2475.6,3397.5,540.2,2220.44
1984-07-01,2510.5,3418.4,544.31,2250.72
1984-10-01,2560.6,3460.6,552.26,2312.26
1985-01-01,2623.8,3511.2,566.61,2371.59
1985-04-01,2673.4,3540.8,583.26,2419.43
1985-07-01,2742.3,3602.1,604.06,2462.85
1985-10-01,2779.6,3612.1,619.88,2497.69
1986-01-01,2823.3,3644.0,633.69,2538.71
1986-04-01,2855.6,3683.0,660.97,2611.17
1986-07-01,2926.2,3742.8,687.34,2674.12
1986-10-01,2965.6,3764.8,724.38,2734.01
1987-01-01,3002.4,3765.7,733.4,2759.35
1987-04-01,3070.0,3814.0,742.67,2780.15
1987-07-01,3134.2,3852.9,747.69,2805.8
1987-10-01,3171.3,3856.5,749.69,2832.73
1988-01-01,3247.1,3924.2,761.43,2897.45
1988-04-01,3310.2,3952.2,778.49,2945.25
1988-07-01,3382.3,3985.1,783.52,2964.53
1988-10-01,3459.2,4029.1,787.01,2996.36
1989-01-01,3506.1,4032.8,782.91,3007.13
1989-04-01,3569.7,4047.4,773.31,3035.01
1989-07-01,3627.3,4083.2,781.66,3100.8
1989-10-01,3676.1,4095.0,794.2,3160.96
1990-01-01,3759.2,4128.9,801.73,3196.84
1990-04-01,3811.8,4134.7,810.2,3221.27
1990-07-01,3879.2,4148.5,821.63,3262.44
1990-10-01,3907.0,4116.4,825.84,3279.57
1991-01-01,3910.7,4084.5,839.82,3329.47
1991-04-01,3961.0,4110.0,858.57,3359.41
1991-07-01,4001.6,4119.5,870.64,3360.25
1991-10-01,4027.1,4109.1,897.26,3379.93
1992-01-01,4127.6,4173.8,936.84,3410.57
1992-04-01,4183.0,4196.4,954.1,3401.64
1992-07-01,4238.9,4226.7,988.2,3418.69
1992-10-01,4329.6,4282.3,1025.01,3434.67
1993-01-01,4365.4,4286.8,1038.38,3420.57
1993-04-01,4428.1,4322.8,1075.31,3453.41
1993-07-01,4488.6,4366.6,1104.26,3464.33
1993-10-01,4554.9,4398.0,1129.87,3487.51
1994-01-01,4616.6,4439.4,1139.9,3494.09
1994-04-01,4680.5,4472.2,1144.68,3494.59
1994-07-01,4750.6,4498.2,1150.76,3499.23
1994-10-01,4820.2,4534.1,1150.72,3503.0
1995-01-01,4862.5,4555.3,1146.62,3506.33
1995-04-01,4931.5,4593.6,1142.64,3564.59
1995-07-01,4986.4,4623.4,1141.43,3618.15
1995-10-01,5035.3,4650.0,1128.68,3651.24
1996-01-01,5108.2,4692.1,1125.26,3709.95
1996-04-01,5199.0,4746.6,1116.06,3743.36
1996-07-01,5242.5,4768.3,1094.76,3774.59
1996-10-01,5313.2,4802.6,1082.85,3826.08
1997-01-01,5402.4,4853.4,1074.96,3869.66
1997-04-01,5438.8,4872.7,1065.39,3910.52
1997-07-01,5540.3,4947.0,1063.55,3979.27
1997-10-01,5593.2,4981.0,1076.04,4046.39
1998-01-01,5676.5,5055.1,1081.11,4133.88
1998-04-01,5773.7,5130.2,1074.52,4196.1
1998-07-01,5843.0,5179.3,1072.14,4295.56
